,fldName,fldDescriptionHeading,fldDescriptionText,fldNpdidField,fldDescriptionDateUpdated,DatesyncNPD
170,GIMLE,Status,Gimle is temporarily shut down due to low reservoir pressure. A new well is planned to be drilled in 2023/2024 in the area between Gimle and Sindre fields. Gimle and Sindre have recently been merged into a unit called Brime.,4005142,09.12.2023,02.04.2024
171,GIMLE,Development,"Gimle is a field in the northern part of the North Sea, just northeast of the Gullfaks field. The water depth is 220 metres. Gimle was discovered in 2004, and was granted exemption from the plan for development and operation (PDO) requirement in 2006. The field is developed with three production wells and one water injection well drilled from the Gullfaks C facility. The production started in 2006.",4005142,13.12.2023,02.04.2024
172,GIMLE,Transport,The production from Gimle is processed on the Gullfaks C facility and transported together with oil and gas from the Gullfaks field.,4005142,28.02.2023,02.04.2024
173,GIMLE,Reservoir,Gimle produces oil from sandstone of Middle Jurassic age in the Brent Group. The main reservoir is in a downfaulted structure northeast of the Gullfaks field at a depth of 2900 metres. The reservoir quality is generally good. There is also oil in sandstone of Late Triassic and Early Jurassic age.,4005142,09.12.2023,02.04.2024
174,GIMLE,Recovery strategy,The field is produced by partial pressure support from water injection. Injection is temporarily stopped due to production shut down.,4005142,28.02.2023,02.04.2024
175,GINA KROG,Development,"Gina Krog is a field on the Utsira High in the central part of the North Sea, just north of the Sleipner Vest field. The water depth is 120 metres. Gina Krog was discovered in 1978, and the plan for development and operation (PDO) was approved in 2013. The field is developed with a fixed platform with living quarters and processing facilities. The production started in 2017. An amended PDO for an alternative oil export solution was approved in 2022. Since September 2023, Gina Krog is fully electrified by power from shore via the Johan Sverdrup field.",23384544,13.12.2023,02.04.2024
176,GINA KROG,Transport,"Stabilised oil and condensate are transported to a floating storage and offloading vessel (Randgrid FSO), and then offloaded to shuttle tankers for further transport. Rich gas is exported to the Sleipner A facility for further processing. Sales gas is exported from Sleipner A via Gassled (Area D) to the market, while unstable condensate is exported to the Kårstø terminal.",23384544,28.02.2023,02.04.2024
177,GINA KROG,Status,"Oil production is declining, and to keep the production as high as possible, gas lift is used in some of the wells. In addition, two injection wells have been converted to producers. The strategy is to keep the gas production at plateau while at the same time maximising oil production. The second drilling campaign on Gina Krog started in June 2023 with two new wells, one with an exploration target. A PDO for the subsea tie-back of the discovery 15/5-2 Eirin was delivered in September 2023. The alternative oil export solution, which includes a pipeline from Gina Krog to the Sleipner A platform, is planned to be in operation in 2024.",23384544,13.12.2023,02.04.2024
178,GINA KROG,Reservoir,"Gina Krog produces oil and gas from sandstone of Middle Jurassic age in the Hugin Formation. The field is structurally complex and segmented, and the reservoir depth is 3300-3900 metres. Reservoir thickness and quality are varying.",23384544,13.12.2023,02.04.2024
179,GINA KROG,Recovery strategy,"The field has earlier been produced by gas injection in most reservoir segments. Since 2021, all segments are produced by pressure depletion.",23384544,28.02.2023,02.04.2024
180,GJØA,Reservoir,"The reservoirs contain gas above a relatively thin oil zone in sandstone of Jurassic age in the Dunlin, Brent and Viking Groups. The field comprises several tilted fault segments with partly uncertain communication and variable reservoir quality. The reservoir depth is 2200 metres.",4467574,13.12.2023,02.04.2024
181,GJØA,Development,"Gjøa is a field in the northern part of the North Sea, 50 kilometres northeast of the Troll field. The water depth is 360 metres. Gjøa was discovered in 1989, and the plan for development and operation (PDO) was approved in 2007. The field comprises several segments. Gjøa is developed with a semi-submersible production facility and includes five 4-slot templates. The field is partly supplied with power from shore. The production started in 2010. In 2019, Gjøa was granted a PDO exemption for the redevelopment of the P1 segment, including a 4-slot template. The Vega, Duva and Nova fields are tied-back to Gjøa.",4467574,13.12.2023,02.04.2024
182,GJØA,Status,"Production from Gjøa has started to decline. Work is focusing on production optimisation and maturation of new production opportunities, such as natural gas lift, infill drilling and near-field exploration targets.",4467574,13.12.2023,02.04.2024
183,GJØA,Recovery strategy,"The field is produced by pressure depletion. In the southern segments, oil production was prioritised in the first years. Gas blow-down, production of the gas cap, started in 2015. Low pressure production was implemented in 2017.",4467574,28.02.2023,02.04.2024
184,GJØA,Transport,"Stabilised oil is exported by pipeline connected to Troll Oil Pipeline II, for further transport to the Mongstad terminal. Rich gas is exported via the Far North Liquids and Associated Gas System (FLAGS) on the UK continental shelf, for further processing at the St Fergus terminal in the UK.",4467574,28.02.2023,02.04.2024
185,GLITNE,Development,"Glitne is a field in the central part of the North Sea, 40 kilometres north of the Sleipner area. The water depth is 110 metres. Glitne was discovered in 1995, and the plan for development and operation (PDO) was approved in 2000. The field was developed with six horizontal production wells and one water injection well, tied-back to a production and storage vessel, Petrojarl 1. The production started in 2001.",1272071,09.12.2023,02.04.2024
186,GLITNE,Transport,Oil from Glitne was processed and stored on the production vessel and exported by tankers. Excess gas was injected into the Utsira Formation.,1272071,28.02.2023,02.04.2024
187,GLITNE,Reservoir,Glitne produced oil from sandstone of Paleocene age in the upper part of the Heimdal Formation. The reservoir is in a deep marine fan system at a depth of 2150 metres.,1272071,09.12.2023,02.04.2024
188,GLITNE,Recovery strategy,The field was produced with pressure support from a large natural aquifer in the Heimdal Formation. Associated gas was used for gas lift in the horizontal wells until 2012.,1272071,28.02.2023,02.04.2024
189,GLITNE,Status,"Glitne was shut down in 2013, and decommissioning was completed in 2015.",1272071,09.12.2023,02.04.2024
190,GOLIAT,Development,"Goliat is a field in the Barents Sea, 50 kilometres southeast of the Snøhvit field. The water depth is 360-420 metres. Goliat was discovered in 2000, and the plan for development and operation (PDO) was approved in 2009. The field is developed with a cylindrical floating production, storage and offloading facility (Sevan 1000 FPSO). Eight subsea templates with a total of 32 well slots are tied-back to the FPSO. Production started in 2016. Goliat was granted a PDO exemption for the Snadd reservoir in 2017 and the Goliat West segment in 2020. The production from these accumulations started in 2017 and 2021, respectively.",5774394,13.12.2023,02.04.2024
191,GOLIAT,Recovery strategy,The field is produced using water injection as pressure support. Additional pressure support results from reinjection of produced gas.,5774394,28.02.2023,02.04.2024
192,GOLIAT,Transport,The oil is offloaded to shuttle tankers for transport to the market. Future gas export is planned via the Snøhvit pipeline to the liquid natural gas (LNG) processing facility at Melkøya near Hammerfest.,5774394,13.12.2023,02.04.2024
193,GOLIAT,Status,"Production regularity has been below expectation since production start-up. Continuous maintenance and modification work along with several revision stops have resulted in a gradually improved regularity of the facility. A solution for Goliat gas export is being considered, which will contribute to extend the lifetime of the field. Several infill wells have been drilled since start up. In 2021 and 2023, the discoveries 7122/6-3 S (Rødhette) and 7122/8-1 S (Countach) were made in the area north of the Goliat field. More infill and exploration wells are planned in the coming years.",5774394,03.01.2024,02.04.2024
194,GOLIAT,Reservoir,"Goliat produces oil from sandstone of Triassic age in the Kobbe and Snadd Formations, and in the Kapp Toscana Group (Realgrunnen subgroup) of Triassic to Jurassic age. The reservoirs have thin gas caps and are in a complex and segmented structure at depths of 1100-1800 metres.",5774394,13.12.2023,02.04.2024
195,GRANE,Transport,Oil from Grane is transported by pipeline to the Sture terminal for storage and export.,1035937,28.02.2023,02.04.2024
196,GRANE,Recovery strategy,"The field is produced by gas injection at the top of the structure, and horizontal production wells at the bottom of the oil zone. In 2010, Grane terminated gas import from the Heimdal gas centre, and only produced gas was reinjected into the reservoir. Gas import started up again in 2014. Grane has limited water injection. Oil recovery is maintained by gas injection and drilling of new wells, including sidetracks from existing producers.",1035937,28.02.2023,02.04.2024
197,GRANE,Reservoir,Grane produces oil with high viscosity mostly from Paleocene sandstone in the Heimdal Formation with very good reservoir properties. The field comprises a main structure and some additional segments with full communication. The reservoir depth is 1700 metres.,1035937,09.12.2023,02.04.2024
198,GRANE,Status,"The recoverable volumes have increased since the initial PDO estimates. A permanent reservoir monitoring system installed on the seabed provides more detailed seismic data for improved reservoir management. Several wells have been drilled, and new wells are being planned, most of them as multilateral wells.",1035937,09.12.2023,02.04.2024
199,GRANE,Development,"Grane is a field in the central part of the North Sea, just east of the Balder field. The water depth is 130 metres. Grane was discovered in 1991, and the plan for development and operation (PDO) was approved in 2000. The field has been developed with an integrated accommodation, drilling and processing facility with a steel jacket and 40 well slots. The production started in 2003. The Svalin and Breidablikk fields are tied-back to the Grane platform.",1035937,13.12.2023,02.04.2024
200,GUDRUN,Transport,"Unstable oil and rich gas are transported in separate pipelines to the Sleipner A facility for further processing. Dry gas is exported via Gassled (Area D) to the market, while oil is transported to the Kårstø terminal.",18116481,28.02.2023,02.04.2024
201,GUDRUN,Recovery strategy,The field is mainly produced by pressure depletion. Part of the reservoir in the Draupne Formation is produced with water injection.,18116481,13.12.2023,02.04.2024
202,GUDRUN,Development,"Gudrun is a field in the central part of the North Sea, 50 kilometres north of the Sleipner Øst field. The water depth is 110 metres. Gudrun was discovered in 1975, and the plan for development and operation (PDO) was approved in 2010. The field is developed with a steel jacket and a topside with process facility and living quarters. Gudrun is tied-back to the Sleipner A facility with two pipelines, one for oil and one for wet gas. A PDO exemption was granted for the discovery 15/3-9 in 2013. The production started in 2014.",18116481,13.12.2023,02.04.2024
203,GUDRUN,Status,"The production from Gudrun has started to decline. Water injection in parts of the Darupne reservoir started in 2022. The second drilling campaign was completed in 2022, and infill targets for the third drilling campaign are being matured. A new 4D seismic survey was completed in 2023. The Gudrun installation has flexibility for tie-in of discoveries in the area.",18116481,13.12.2023,02.04.2024
204,GUDRUN,Reservoir,"Gudrun produces oil and gas from sandstone in the Upper Jurassic Draupne Formation and the Middle Jurassic Hugin Formation. The reservoir quality in the Draupe Formation, which constitutes the main recoverable resources, is in general good. The Hugin Formation has larger variation in reservoir quality. The reservoirs are at depths of 4000-4700 metres.",18116481,13.12.2023,02.04.2024
205,GULLFAKS,Recovery strategy,"The drive mechanism for the main reservoirs is primarily water injection, with gas injection and water alternating gas injection (WAG) in some areas. Initially, the drainage strategy for the Shetland/Lista reservoir was depletion, but pressure support by water injection has now been implemented.",43686,28.02.2023,02.04.2024
206,GULLFAKS,Transport,Oil is exported from Gullfaks A and Gullfaks C via loading buoys onto tankers. Rich gas is transported by Statpipe for further processing at the Kårstø terminal.,43686,28.02.2023,02.04.2024
207,GULLFAKS,Status,Drilling of new wells on Gullfaks has been challenging for many years due to overpressured areas in the Shetland/Lista interval. Production from the Shetland/Lista reservoirs has gradually contributed to reduced overpressures and improved drillability. Additional wells are being drilled continuously from all platforms. Hywind Tampen started power production 2022/2023.,43686,13.12.2023,02.04.2024
208,GULLFAKS,Development,"Gullfaks is a field in the Tampen area in the northern part of the North Sea. The water depth is 130-220 metres. Gullfaks was discovered in 1978, and the plan for development and operation (PDO) for Gullfaks Phase I was approved in 1981. A PDO for Gullfaks Phase II was approved in 1985. The production started in 1986. The field has been developed with three integrated processing, drilling and accommodation facilities with concrete bases (Gullfaks A, B and C). Gullfaks B has a simplified processing plant with first stage separation. The Gullfaks facilities are involved in production and transport from Tordis, Vigdis, Snorre, Visund, Visund Sør and Brime. A PDO for Gullfaks Vest was approved in 1993, and for recovery from the Lunde Formation in 1995. An amended PDO for the Gullfaks field, covering prospects and small discoveries, which could be drilled and produced from existing facilities, was approved in 2005. Amendments to the Gullfaks PDO, covering Phase I and Phase II production from the Shetland/Lista deposit, were approved in 2015 and 2019, respectively. In 2020, an amended PDO for the development of the Hywind Tampen wind farm was approved. The wind farm consists of 11 floating turbines that started supplying electricity to the Gullfaks and Snorre platforms in 2022/2023. These fields are the first in the world receiving power from a floating wind farm.",43686,13.12.2023,02.04.2024
209,GULLFAKS,Reservoir,"Gullfaks produces oil from Middle Jurassic sandstone in the Brent Group, and from Lower Jurassic and Upper Triassic sandstone in the Statfjord Group and Cook and Lunde Formations. Recoverable oil is also present in fractured carbonate and shale in the overlying Shetland Group and Lista Formation. The reservoirs are at depths of 1700-2000 metres in rotated fault blocks in the west and a structural horst (raised fault block) in the east, with a highly faulted area in between. Reservoir quality is generally good to very good in the Jurassic reservoirs within each fault compartment, but poor reservoir communication is a challenge for pressure maintenance.",43686,13.12.2023,02.04.2024
210,GULLFAKS SØR,Reservoir,"The Gullfaks Sør deposits produce oil and gas from Middle Jurassic sandstone in the Brent Group and from Lower Jurassic and Upper Triassic sandstone in the Statfjord Group and Cook and Lunde Formations. The reservoirs are in several rotated fault blocks at depths of 2400-3400 metres. The reservoirs in the Gullfaks Sør deposit are heavily segmented, with many internal faults and challenging flow characteristics, especially in the Statfjord Group and Lunde Formation. The other deposits in the Gullfaks Sør area have generally good reservoir quality.",43699,13.12.2023,02.04.2024
211,GULLFAKS SØR,Development,"Gullfaks Sør is a field in the northern part of the North Sea, just south of the Gullfaks field. The water depth is 130-220 metres. Gullfaks Sør was discovered in 1978, but comprises several discoveries made in later years. The Gullfaks Sør deposits have been developed with a total of 13 subsea templates tied-back to the Gullfaks A and Gullfaks C facilities. The initial plan for development and operation (PDO) for Gullfaks Sør Phase I was approved in 1996 and included production of oil and condensate from the Gullfaks Sør, Rimfaks and Gullveig deposits. The production started in 1998. The PDO for Phase II was approved in 1998 and included production of gas from the Brent Group in the Gullfaks Sør deposit. In 2004, the Gulltopp discovery was included in Gullfaks Sør. Gulltopp is produced through an extended reach production well from the Gullfaks A facility. A PDO for the Skinfaks discovery and Rimfaks IOR was approved in 2005. An amended PDO for the redevelopment of Gullfaks Sør Statfjord Formation with two new subsea templates was approved in 2012. A PDO for Gullfaks Rimfaksdalen, which includes the Rutil and Opal deposits, was approved in 2015. It consists of a new subsea template and four production wells. Since 2017, gas production is increased by two subsea wet gas compressors, tied-back to the Gullfaks C platform. A PDO exemption for some prospects and small discoveries, which can be drilled and produced from existing Gullfaks Sør facilities, was granted in 2018. A PDO exemption for the Opal Sør deposit was granted in 2019.",43699,13.12.2023,02.04.2024
212,GULLFAKS SØR,Status,"The Gullfaks Sør production is on decline, but the field still has significant remaining gas volumes. New wells are continuously drilled in the area with a licence-owned rig.",43699,13.12.2023,02.04.2024
213,GULLFAKS SØR,Recovery strategy,"The Brent reservoir in Gullfaks Sør is mainly produced by pressure depletion after gas injection ceased in 2009. Pressure support from gas injection started for the Skinfaks Sør deposit in 2023. The Lunde Formation in Gullfaks Sør is produced with depletion as well as pressure support from gas injection. Gas export from Rimfaks started in 2015, but limited gas injection was maintained in the Brent Group until 2018. The Gullveig, Gulltopp and Rutil deposits are produced by pressure depletion and partial aquifer drive. The Skinfaks deposit is produced with gas lift. The Rutil and Opal deposits are produced by pressure depletion.",43699,13.12.2023,02.04.2024
214,GULLFAKS SØR,Transport,"The oil is transported to the Gullfaks A facility for processing, storage and further transport by tankers. Rich gas is processed on Gullfaks C and exported through Statpipe to the Kårstø-terminal.",43699,28.02.2023,02.04.2024
215,GUNGNE,Status,"Gungne is in its late tail production phase. Only one well is currently on production, and there is no production from the well on the Gamma High structure.",43464,09.12.2023,02.04.2024
216,GUNGNE,Transport,The well stream from Gungne is processed at the Sleipner A facility. Sales gas is exported from Sleipner A via Gassled (Area D) to the market. Unstable condensate is transported in a pipeline to the Kårstø terminal.,43464,28.02.2023,02.04.2024
217,GUNGNE,Recovery strategy,The field is produced by pressure depletion.,43464,28.02.2023,02.04.2024
218,GUNGNE,Reservoir,"Gungne produces gas and condensate mainly from sandstone in the Triassic Skagerrak Formation, with some contribution from Middle Jurassic sandstone in the Hugin Formation and Paleogene sandstone in Ty Formation. The Skagerrak Formation has generally poorer reservoir quality than the Hugin and Ty Formations. The reservoirs are at a depth of 2800 metres.",43464,09.12.2023,02.04.2024
219,GUNGNE,Development,"Gungne is a field in the Sleipner area in the central part of the North Sea. The water depth is 85 metres. Gungne was discovered in 1982, and the plan for development and operation (PDO) was approved in 1995. The field has been developed by three wells drilled from the Sleipner A installation. The production started in 1996. A PDO exemption was granted for the Skagerrak and Hod Formations in 2000, and for a well to the Gamma High structure in 2007.",43464,13.12.2023,02.04.2024
220,GYDA,Recovery strategy,"The field was produced by water injection, as well as by pressure support from both gas cap and aquifer in parts of the field.",43492,28.02.2023,02.04.2024
221,GYDA,Development,"Gyda is a field in the southern part of the Norwegian sector in the North Sea, between the Ula and Ekofisk fields. The water depth is 65 metres. Gyda was discovered in 1980, and the plan for development and operation (PDO) was approved in 1987. The field was developed with a combined drilling, accommodation and processing facility with a steel jacket. The production started in 1990. A PDO for Gyda Sør was approved in 1993.",43492,09.12.2023,02.04.2024
222,GYDA,Reservoir,Gyda produced oil from three reservoirs in Upper Jurassic sandstone of the Ula Formation. The reservoir depth is 4000 metres.,43492,09.12.2023,02.04.2024
223,GYDA,Status,"Gyda was shut down in 2020, and the facility was removed in 2022.",43492,09.12.2023,02.04.2024
224,GYDA,Transport,"The oil was transported to the Ekofisk field via the oil pipeline from Ula, and further via Norpipe to Teesside in the UK. The gas was transported in a dedicated pipeline to Ekofisk for further transport via Norpipe to Emden in Germany. Gas export ceased in 2016.",43492,28.02.2023,02.04.2024
225,HALTEN ØST,Recovery strategy,The drainage strategy is pressure depletion with aquifer support.,42148955,20.04.2023,02.04.2024
226,HALTEN ØST,Transport,The oil and condensate will be transported from Åsgard to the market by tankers. The gas will be exported via the Åsgard Transport System (ÅTS) to the terminal at Kårstø.,42148955,09.12.2023,02.04.2024
227,HALTEN ØST,Status,"Halten Øst will be developed in two phases. Production from the first and second phase is scheduled to start in 2025 and 2029, respectively.",42148955,20.04.2023,02.04.2024
228,HALTEN ØST,Reservoir,"The reservoirs contain mainly gas and condensate in Lower to Upper Jurassic sandstone in the Tilje, Tofte, Ile, Garn and Melke Formations. They are located at depths between 2000 and 3000 metres. Common for all these reservoirs is that the volumes are relatively small, but the reservoir properties are excellent.",42148955,09.12.2023,02.04.2024
229,HALTEN ØST,Development,"Halten Øst is a field in the Norwegian Sea, just east of the Åsgard field. It consists of six discoveries: Natalia, Sigrid, Nona, Flyndretind, Gamma and Harepus, spread out within 65 kilometres between Natalia in the north to Mikkel Sør in the south. The water depth is 200-300 metres. The discoveries will be developed together, and the plan for development and operation (PDO) was approved in February 2023. The development concept includes five subsea templates tied-back to the existing infrastructure on the Åsgard field.",42148955,09.12.2023,02.04.2024
230,HANZ,Reservoir,The reservoir contains oil with a minor gas cap. It is in the Draupne Formation of Late Jurassic age at a depth of 2350 metres. It is in presumably deep marine sandstone with good reservoir properties.,25307278,09.12.2023,02.04.2024
231,HANZ,Recovery strategy,The field will be produced by pressure support from a crossflow water injector between the Heimdal aquifer and the reservoir in the Draupne Formation.,25307278,07.02.2024,02.04.2024
232,HANZ,Transport,"After initial processing on the Ivar Aasen field, the well stream will be transported to the Edvard Grieg field for final processing and export.",25307278,28.02.2023,02.04.2024
233,HANZ,Status,The field is under development and the production is planned to start in 2024.,25307278,28.02.2023,02.04.2024
234,HANZ,Development,"Hanz is a field in the North Sea, 12 kilometres north of the Ivar Aasen field. The water depth is 115 metres. Hanz was discovered in 1997 and is included in an amended plan for development and operation (PUD) for the Ivar Aasen field. Hanz will be developed with subsea templates tied-back to Ivar Aasen.",25307278,09.12.2023,02.04.2024
235,HEIDRUN,Status,The production from Heidrun is maintained at a relatively high level through continuous water and gas injection and drilling of new production and injection wells. Different methods are being evaluated to enhance oil and gas recovery and prolong the lifetime of the field. The production from the Alpha Horst segment started in 2022.,43771,13.12.2023,02.04.2024
236,HEIDRUN,Development,"Heidrun is a field on Haltenbanken in the Norwegian Sea, 30 kilometres northeast of the Åsgard field. The water depth is 350 metres. Heidrun was discovered in 1985, and the plan for development and operation (PDO) was approved in 1991. The field has been developed with the world's first ever floating concrete tension-leg platform (TLP), installed over a large subsea template with 56 well slots. Six subsea templates in the southern and northern areas are additionally tied-back to the TLP. The production started in 1995. The floating storage unit (FSU) Heidrun B is permanently moored at the Heidrun platform since 2015. The PDO for the Heidrun northern flank was approved in 2000. The Maria field receives water for injection from Heidrun. The Dvalin field has a dedicated gas processing module on the Heidrun platform.",43771,13.12.2023,02.04.2024
237,HEIDRUN,Reservoir,"Heidrun produces oil and gas from Lower and Middle Jurassic sandstone in the Åre, Tilje, Ile and Garn Formations. The reservoir is at a depth of 2300 metres and is heavily faulted and segmented. The Ile and Garn Formations have good reservoir quality, while the Åre and Tilje Formations are more complex.",43771,13.12.2023,02.04.2024
238,HEIDRUN,Transport,The oil is exported via the Heidrun B FSU onto tankers and shipped to the market. The gas is exported via Haltenpipe to the Tjeldbergodden terminal and via the Åsgard Transport System (ÅTS) to the Kårstø terminal. The Dvalin gas is exported via Polarled to the Nyhamna terminal.,43771,13.12.2023,02.04.2024
239,HEIDRUN,Recovery strategy,"The field is produced with pressure maintenance using water and gas injection in the Ile and Garn Formations. In the more complex parts of the reservoir, in the Åre and Tilje Formations, the main recovery strategy is water injection. Some segments are also produced by pressure depletion.",43771,28.02.2023,02.04.2024
240,HEIMDAL,Recovery strategy,The field was produced by pressure depletion.,43590,28.02.2023,02.04.2024
241,HEIMDAL,Development,"Heimdal is a field in the central part of the North Sea. The water depth is 120 metres. Heimdal was discovered in 1972, and the initial plan for development and operation (PDO) was approved in 1981. The field was developed with an integrated drilling, production and accommodation facility with a steel jacket. The production started in 1985. When the Heimdal riser gas facility (Gas Centre) came into operation, Heimdal also became a hub for dry gas transport from Oseberg, in addition to processing production from fields such as Atla, Skirne, Vale, Valemon and Huldra.",43590,09.12.2023,02.04.2024
242,HEIMDAL,Transport,"Gas from Heimdal was transported in Statpipe via the Draupner and Ekofisk fields to continental Europe. When the Heimdal Gas Centre was established, a new gas pipeline was connected to the existing gas pipeline from the Frigg field to the Shell-Esso Gas and Liquid (SEGAL) terminal at St Fergus in the UK. Condensate was transported by pipeline to the Brae field in the UK sector and further to Cruden Bay in the UK.",43590,09.12.2023,02.04.2024
243,HEIMDAL,Status,The production from Heimdal ceased in 2020. Heimdal was used as a gas processing centre until mid-2023. Decommissioning of the facilities must be completed by the end of 2028.,43590,09.12.2023,02.04.2024
244,HEIMDAL,Reservoir,Heimdal produced gas and some condensate from sandstone of Paleocene age in the Heimdal Formation. The reservoir is in a massive turbidite system at a depth of 2100 metres and has good quality.,43590,09.12.2023,02.04.2024
245,HOD,Status,The production from Hod B started in 2022. The Hod Saddle area is being produced through wells drilled from the Valhall field. The original Hod platform awaits decommissioning within 2026.,43485,09.12.2023,02.04.2024
246,HOD,Recovery strategy,The field is produced by pressure depletion. Gas lift has been used in some wells to increase production.,43485,28.02.2023,02.04.2024
247,HOD,Transport,Oil and gas are transported in a shared pipeline to the Valhall field for further processing. Transport of oil and NGL from Valhall is routed via pipeline to the Ekofisk Centre and further to Teesside in the UK. Gas from Valhall is sent via Norpipe to Emden in Germany.,43485,28.02.2023,02.04.2024
248,HOD,Reservoir,"Hod produces oil from chalk in the Upper Cretaceous Tor and Hod Formations and the lower Paleocene Ekofisk Formation. The Tor Formation chalk is fine-grained and soft. Considerable fracturing allows oil and water to flow more easily than in the underlying Hod Formation. The reservoir depth is 2700 metres. The field consists of three structures: Hod West, Hod East and Hod Saddle.",43485,09.12.2023,02.04.2024
249,HOD,Development,"Hod is a field in the southern part of the Norwegian sector in the North Sea, about 13 kilometres south of the Valhall field. The water depth is 72 metres. Hod was discovered in 1974, and the plan for development and operation (PDO) was approved in 1988. The field was originally developed with an unmanned wellhead platform, remotely controlled from Valhall. The production started in 1990. A PDO for Hod Saddle was approved in 1994. The production from the original platform ceased in 2013. A PDO for the redevelopment of Hod with a new unmanned wellhead platform (Hod B) tied-in to the Valhall field centre was approved in 2020.",43485,13.12.2023,02.04.2024
250,HUGIN,Recovery strategy,"Langfjellet, Frøy and Rind will be produced with pressure support by water injection. Frigg Gamma Delta will be produced by pressure depletion, and the produced water is planned to be reinjected into the water zone.",42002474,12.08.2023,02.04.2024
251,HUGIN,Status,The field is under development. The development of Hugin is coordinated with the development of the Fulla and Munin fields in the Yggdrasil area. The production is planned to start in 2027. Nearby prospects may be tested in a later drilling campaign and produced through remaining well slots.,42002474,09.12.2023,02.04.2024
252,HUGIN,Reservoir,"The reservoirs contain oil and gas in sandstone mainly of Eocene age in the Frigg Formation and of Middle Jurassic age in the Hugin Formation, at depths of 1900 and 3500 metres, respectively. The Hugin area is geologically complex, and the deposits have varying reservoir and fluid properties.",42002474,09.12.2023,02.04.2024
253,HUGIN,Development,"Hugin is a field in the Yggdrasil area in the central North Sea, 20 kilometres east of the Frigg field. The water depth is 120 metres. Hugin consists of three discoveries: Frigg Gamma Delta, Rind and Langfjellet. The first discovery was made in 1986 when Frigg Gamma was discovered. The plan for development and operation (PDO) was approved in June 2023. The plan comprises the development of the Hugin discoveries and the redevelopment of the Frøy field. The development concept includes a process facility with living quarters, Hugin A, and a normally unmanned facility at Frøy, Hugin B, as well as subsea templates tied-back to Hugin A. Hugin A will be the field centre for the Yggdrasil area.",42002474,09.12.2023,02.04.2024
254,HUGIN,Transport,The gas will be exported through a pipeline from Hugin A to Statpipe and the Kårstø terminal. The oil will be exported through pipeline from Hugin A to the Grane oil pipeline and further to the Sture terminal.,42002474,23.08.2023,02.04.2024
255,HULDRA,Status,"Huldra was shut down in 2014, and the facility was removed in 2019.",97002,09.12.2023,02.04.2024
256,HULDRA,Development,"Huldra is a field in the northern part of the North Sea, 16 kilometres west of the Veslefrikk field. The water depth is 125 metres. Huldra was discovered in 1982, and the plan for development and operation (PDO) was approved in 1999. The field was developed with a wellhead facility, including a simple process facility, and remotely operated from Veslefrikk B. The production started in 2001.",97002,09.12.2023,02.04.2024
257,HULDRA,Transport,The wet gas was transported to the Heimdal field and the condensate to Veslefrikk for processing and export.,97002,09.12.2023,02.04.2024
258,HULDRA,Reservoir,"Huldra produced gas and condensate from sandstone of Middle Jurassic age in the Brent Group. The reservoir is in a rotated fault block at a depth of 3500-3900 metres, and initially had high pressure and high temperature (HPHT). There are many small faults in the field and two main segments without pressure communication.",97002,09.12.2023,02.04.2024
259,HULDRA,Recovery strategy,The field was produced by pressure depletion and with low pressure production after 2007.,97002,28.02.2023,02.04.2024
260,HYME,Reservoir,Hyme produces oil and gas from sandstone of Early and Middle Jurassic age in the Tilje and Ile Formations. The reservoir is at a depth of 2150 metres and has good quality.,20474183,13.12.2023,02.04.2024
261,HYME,Recovery strategy,The field is produced with pressure support from seawater injection. The production well is equipped with gas lift.,20474183,28.02.2023,02.04.2024
262,HYME,Development,"Hyme is a field in the southern part of the Norwegian Sea, 19 kilometres northeast of the Njord field. The water depth is 250 metres. Hyme was discovered in 2009, and the plan for development and operation (PDO) was approved in 2011. The field is developed with a subsea template including one production well and one water injection well. Hyme is connected to the Njord A facility. The production started in 2013 and stopped temporarily in 2016 when the Njord A facility was shut down and towed to land for reinforcement and modifications. Hyme resumed production again in April 2023.",20474183,13.12.2023,02.04.2024
263,HYME,Status,"The production is lower than anticipated, mainly due to downtime associated with the Njord process facility. The current production strategy for Hyme is to optimise the drainage by balancing water injection versus development of pressure and water cut in the production well.",20474183,13.12.2023,02.04.2024
264,HYME,Transport,The well stream is transported to the Njord field and processed on the Njord A platform. The Njord facilities are used for both oil and gas export.,20474183,28.02.2023,02.04.2024
265,IDUN NORD,Transport,The gas will be exported via the Åsgard Transport System (ÅTS) to the terminal at Kårstø. Oil and condensate will be offloaded from the Skarv FPSO to shuttle tankers.,42002477,09.12.2023,02.04.2024
266,IDUN NORD,Development,"Idun Nord is a field in the northern part of the Norwegian Sea, right east of the Skarv field. The water depth is 380 metres. Idun Nord was discovered in 2009, and the plan for development and operation (PDO) was approved in June 2023. The development concept includes a subsea template with four slots tied-back to the Skarv floating production, storage and offloading vessel (FPSO).",42002477,09.12.2023,02.04.2024
267,IDUN NORD,Recovery strategy,The field will be produced by pressure depletion.,42002477,12.08.2023,02.04.2024
268,IDUN NORD,Reservoir,The reservoir contains gas and condensate in sandstone of Middle Jurassic age in the Garn and Not Formations. It is at a depth of about 3500 metres and has good quality.,42002477,09.12.2023,02.04.2024
269,IDUN NORD,Status,Idun Nord is being developed together with Ørn and Alve Nord as part of the Skarv Satellite Project (SSP). The production is planned to start in 2027.,42002477,12.08.2023,02.04.2024
