field,#,sea,status,HC type,PL/BAA,operator,HPHT,reservoir,development,group,formation,lithology,recovery,FactPageUrl,norwegian share,rec. oil,rec. gas,rec. ass. liq.,rec. OE,rem. oil,rem. gas,rem. ass. liq.,rem. OE,STOIIP,GIIP,in-place ass. liquid,in-place ass. gas,in-place free gas,in-place OE,in-place liq./OE ratio,in-place free gas/OE ratio,RF oil,RF liq.,RF gas,RF OE,maturity oil,maturity gas,maturity liq.,maturity OE,t10,t25,t50,t75,t90,t95,t100,prod. age,start year,rem. OE prod. years,est. total lifetime,est. rem. lifetime,est. P&A year,peak year,peak OE YPR,peak oil YPR,peak gas YPR,well num,prod. num,inj. num,obs. num,subsea index,lat,lon,depth min,depth mean,depth median,depth max,water depth,depth,p_h,p0,grad_p0,p0 checked,T0,GOR,oil FVF,gas FVF,oil PV0,gas PV0,HCPV0,gas PV0/HC PV0,rec. oil PV,rec. gas PV,rec. HCPV,CO2 SC,H2 SC,CO2 SC/well num,CO2 density RC,injectivity ind.,total score
MIME,69,NORTH,shut down,oil,,,False,Mime produced oil from sandstone of Late Jurassic age in the Ula Formation. The reservoir depth is 4200 metres.,"Mime is a field in the southern part of the Norwegian sector in the North Sea, six kilometres northeast of the Cod field. The water depth is 80 metres. Mime was discovered in 1982, and the plan for development and operation (PDO) was approved in 1992. The field was developed with a subsea well tied to the Cod facility. The production started 1993.",Vestland,Ula,clastic,The filed was produced by pressure depletion.,https://factpages.sodir.no/field/pageview/all/43792,1.0,0.37,0.08,0.02,0.47,0.0,0.0,0.0,0.0,7.4,2.2,0.0,2.2,0.0,11.8,0.63,0.0,0.05,0.053,0.0364,0.0398,1.0,1.0,1.0,1.0,0.31,0.6099,1.2401,1.9933,2.6236,2.8391,3.1667,3.167,1990.833,0.0,,0.0,1993.917,1991.0,0.21,0.173,0.037,5.0,0.0,0.0,0.0,1.0,57.12537679999999,2.4885964,4216.0,4322.0,4309.0,4453.0,79.0,4309.0,439.7,613.0,142.0,True,183.0,297.3,1.8751216892255382,0.003360922867709994,13.88,0.0,13.88,0.0,0.73,0.0,0.73,0.5,0.02,0.1,685.0,626.0,0.0
MORVIN,70,NORWEGIAN,producing,oil,134 B,Equinor Energy AS,True,"Morvin produces gas and oil from Jurassic sandstone in the Tilje, Tofte, Ile, Garn and Spekk Formations. The reservoirs are in a rotated and tilted fault block at depths of 4500-4700 metres. They have high pressure and high temperature (HPHT).","Morvin is a field in the Norwegian Sea, 15 kilometres west of the Åsgard field. The water depth is 360 metres. Morvin was discovered in 2001, and the plan for development and production (PDO) was approved in 2008. The field is developed with two 4-slot subsea templates, tied to the Åsgard B facility. The production started in 2010.","Båt, Fangst, Viking","Tilje, Tofte, Ile, Garn and Spekk",clastic,The field is produced by pressure depletion.,https://factpages.sodir.no/field/pageview/all/4966234,1.0,9.47,3.68,1.44,14.58,0.1,0.07,0.02,0.19,35.6,16.41,0.0,16.41,0.0,68.42,0.52,0.0,0.266,0.307,0.2243,0.2131,0.989,0.981,0.989,0.987,0.9357,1.6627,3.2941,6.6769,10.6341,13.1208,,15.333,2010.667,0.6,16.374,1.04,2027.04,2013.0,2.641,1.674,0.967,4.0,4.0,0.0,0.0,1.0,65.14377574999999,6.48267175,4588.0,4633.9,4637.0,4673.5,347.5,4637.0,473.1,825.0,177.7,True,158.0,461.0,2.271620763194522,0.0027232539658719654,80.87,0.0,80.87,0.0,24.79,0.0,24.79,20.45,0.84,5.11,825.0,1601.0,0.0
MUNIN,71,NORTH,approved,gas/oil,272,Aker BP ASA,False,"The reservoirs contain gas and oil mainly in Middle Jurassic sandstone of the Brent Group at depths of 3200-3650 metres. The Munin area is geologically complex, and the deposits have varying reservoir and fluid properties.","Munin is a field in in the Yggdrasil area in the central North Sea, 35 kilometres south of the Oseberg field. The water depth is 110 metres. The field comprises several discoveries and extends over 200 square kilometres. The first discovery was made in 1997 with well 30/11-5. Since then, a further ten discoveries have been made. The discovery wellbore for Munin is 30/11-8 S, drilled in 2011. The plan for development and operation (PDO) was approved in 2023. The development concept includes subsea tie-back of the deposits to an unmanned processing platform located in the northern part of the Yggdrasil area. The platform will be tied-back to the Hugin A processing platform in the southern Yggdrasil area.",Brent,Brent,clastic,"The deposits will be produced with different recovery strategies. The largest oil deposits will be produced with water injection, while gas deposits and smaller oil deposits will be produced by pressure depletion. Oil producers will be equipped with gas lift.",https://factpages.sodir.no/field/pageview/all/42002476,1.0,19.24,20.93,7.45,47.62,19.24,20.93,7.45,47.62,47.03,34.910000000000004,10.08,4.36,30.55,96.38,0.59,0.317,0.409,0.467,0.5995,0.4941,0.0,0.0,0.0,0.0,,,,,,,,,2028.0,,21.3,21.3,2049.3,,,,,15.0,0.0,0.0,0.0,1.0,60.158745599999996,2.5613791999999997,1200.0,3346.0,3644.0,4246.0,107.0,3644.0,372.0,511.8,140.2,True,125.8,92.7,1.2771743454186586,0.003285992807773855,60.07,100.39,160.45,0.63,28.07,60.19,88.26,66.67,2.2,4.44,755.0,,0.0
MURCHISON,72,,shut down,oil,,,False,Murchison produced oil from sandstone of Middle Jurassic age in the Brent Group.,"Murchison is a field in the Tampen area in the northern part of the North Sea, on the border between the Norwegian and UK sectors. The Norwegian share of the field was 22.2 per cent. Murchison was discovered in 1975, and the plan for development and operation was approved in 1976. The field was developed in the UK sector with a combined drilling, accommodation and production facility. The British and Norwegian licensees and authorities entered into an agreement in 1979 concerning common exploitation of the resources on the Murchison field. The production started in 1980.",Brent,Brent,clastic,The field was produced with pressure support from water injection.,https://factpages.sodir.no/field/pageview/all/43665,0.222,13.86,0.35,0.61,14.82,0.0,0.0,0.0,0.0,27.0,2.7,0.0,2.7,0.0,32.4,0.83,0.0,0.513,0.536,0.1296,0.4574,1.0,1.0,1.0,1.0,1.4762,2.8701,5.5311,10.9638,18.0259,22.6469,33.25,33.25,1980.833,0.0,,0.0,2014.167,1984.0,3.139,3.058,0.081,34.0,,,,0.029411764705882353,,,,,,,156.0,3080.3,,435.4,141.0,True,110.0,100.0,1.2805099301678815,0.003478365104918851,34.57,0.0,34.57,0.0,18.53,0.0,18.53,13.91,0.42,1.84,751.0,,0.0
NJORD,73,NORWEGIAN,producing,oil/gas,NJORD UNIT,Equinor Energy AS,False,Njord produces oil from Jurassic sandstone in the Tilje and Ile Formations. The field has a complicated fault pattern with only partial communication between the segments. The reservoir quality varies in the different reservoir zones. The reservoir depth is 2850 metres.,"Njord is a field in the Norwegian Sea, 30 kilometres west of the Draugen field. The water depth is 330 metres. The Njord field was discovered in 1986, and the plan for development and operation (PDO) was approved in 1995. Njord is developed with a floating steel platform unit, Njord A, containing drilling and processing facilities, and a storage vessel, Njord Bravo. The production started in 1997 and stopped temporarily in 2016 when the Njord A platform was shut down and towed to land for reinforcement and modifications. An amended PDO for the upgrading was approved in 2017. Production from the Njord field resumed at the end of 2022. The fields Hyme, Bauge and Fenja are tied-back to Njord.","Båt, Fangst","Tilje, Ile",clastic,"Initial production strategy was gas injection for pressure support in parts of the reservoir and pressure depletion in the rest of the reservoir. After gas export started in 2007, only minor volumes of gas have been injected. Due to the complex reservoir with many faults, the field has a relatively low recovery factor.",https://factpages.sodir.no/field/pageview/all/43751,1.0,30.96,24.64,10.6,66.21,3.64,11.75,5.43,20.81,132.19,48.69,5.22,34.71,13.98,220.81,0.62,0.063,0.234,0.302,0.5061,0.2999,0.882,0.523,0.782,0.686,2.1512,5.2067,13.0317,,,,,20.75,1997.75,,54.468,33.718,2059.718,2000.0,3.921,3.921,0.0,35.0,23.0,9.0,3.0,1.0,64.27106271428572,7.201928114285716,1771.0,2911.7,2935.0,3279.7,330.0,2935.0,299.8,299.8,101.8,False,102.8,262.6,1.702732790291642,0.004443012794692852,225.08,62.11,287.2,0.22,68.08,31.43,99.51,64.71,1.67,1.85,650.0,5233.0,0.0
NORDØST FRIGG,74,NORTH,shut down,gas,1250 S,Aker BP ASA,False,Nordøst Frigg produced gas from sandstone of Eocene age in the Frigg Formation. The reservoir is at a depth of 1950 metres. It has pressure communication with the reservoir on the Frigg field via the aquifer.,"Nordøst Frigg is a field in the central part of the North Sea. The water depth is 110 metres. The field was discovered in 1974, and the plan for development and operation (PDO) was approved in 1980. Nordøst-Frigg was developed with a seabed template with six wells and was remotely operated from the Frigg field using a control tower. The control tower consisted of a deck and a 126-metre-high steel structure attached to a concrete foundation. The production started in 1983.",Hordaland,Frigg,clastic,The field was produced by pressure depletion.,https://factpages.sodir.no/field/pageview/all/43568,1.0,0.0,11.6,0.08,11.68,0.0,0.0,0.0,0.0,0.0,35.1,0.12,0.0,35.1,35.22,0.0,0.997,,0.667,0.3305,0.3316,,1.0,1.0,1.0,0.8478,1.5043,3.1811,5.8446,7.1814,7.9595,9.4167,9.417,1984.0,0.0,,0.0,1993.417,1985.0,2.241,0.013,2.228,6.0,6.0,0.0,0.0,1.0,59.98534999999999,2.2477,1950.0,1954.7,1955.5,1959.0,103.0,1955.5,200.1,203.0,103.3,True,71.0,,0.0,0.0054685237635538324,0.0,191.95,191.95,1.0,0.0,63.43,63.43,41.78,0.82,6.96,659.0,5195.0,0.0
NORNE,75,NORWEGIAN,producing,oil/gas,NORNE INSIDE,Equinor Energy AS,False,"Norne produces oil and gas from Jurassic sandstone. Oil is mainly found in the Ile and Tofte Formations, and gas in the Not Formation. The reservoir is at a depth of 2500 metres and has good quality.","Norne is a field in the Norwegian Sea, 80 kilometres north of the Heidrun field. The water depth is 380 metres. Norne was discovered in 1992, and the plan for development and operation (PDO) was approved in 1995. The field has been developed with a production, storage and offloading vessel (FPSO), connected to seven subsea templates. The production started in 1997. An amended PDO for several deposits in the area around the Norne and Urd fields was approved in 2008. The Alve, Urd, Skuld, Marulk and Verdande fields are tied-back to the Norne FPSO. ","Båt, Fangst","Not, Ile, Tofte",clastic,The field is produced by water injection as the drive mechanism. Gas injection ceased in 2005 and all gas is exported.,https://factpages.sodir.no/field/pageview/all/43778,1.0,94.14,12.3,2.55,108.99,1.08,0.14,0.02,1.23,157.0,29.8,1.8,18.3,11.5,206.9,0.77,0.056,0.6,0.609,0.4128,0.5268,0.989,0.989,0.989,0.989,1.5409,3.145,5.5849,9.7879,19.1182,23.7398,,27.75,1997.917,1.1,28.998,0.998,2026.998,2001.0,12.591,11.505,1.085,51.0,36.0,10.0,5.0,1.0,66.02288209803923,8.066993843137254,2509.0,2681.9,2619.0,3092.0,377.2,2619.0,267.6,267.6,101.8,True,92.5,116.6,1.3059719496401065,0.004691034226300954,205.04,53.95,258.98,0.21,124.84,22.27,147.11,95.79,2.29,1.88,651.0,3485.0,0.0
NOVA,76,NORTH,producing,oil/gas,418,Harbour Energy Norge AS,False,"The reservoir contains oil with a gas cap in sandstone of Late Jurassic age in the Heather Formation of the Viking Group, at a depth of 2500 metres. The reservoir quality is good.","Nova is a field in the northern part of the North Sea, 20 kilometres southwest of the Gjøa field. The water depth is 370 metres. Nova was proven in 2012, and the plan for development and operation (PDO) was approved in 2018. The development consists of two 4-slot subsea templates, one with three oil producers and one with three water injectors, tied-back to the Gjøa platform. The production started in 2022.",Viking,Heather,clastic,The field is produced by pressure support from water injection and with gas lift.,https://factpages.sodir.no/field/pageview/all/33197696,1.0,6.6,2.02,1.35,9.96,2.93,1.29,0.87,5.08,29.5,10.2,0.0,6.57,3.63,46.27,0.64,0.078,0.224,0.269,0.198,0.2153,0.556,0.361,0.521,0.49,1.0427,1.9335,,,,,,3.5,2022.583,,15.051,11.551,2037.551,2025.0,1.721,1.346,0.375,7.0,3.0,4.0,0.0,1.0,61.28145271428572,3.6658322857142864,2581.3,2785.4,2803.3,3044.3,367.6,2803.3,286.4,303.1,107.8,True,98.5,222.7,1.5919405638879027,0.0043369634999955225,46.96,15.74,62.71,0.25,12.65,3.12,15.77,10.59,0.27,1.51,672.0,2236.0,0.0
ODA,77,NORTH,producing,oil,405,Aker BP ASA,False,Oda produces oil from sandstone of Late Jurassic age. The main reservoir is in the Ula Formation at a depth of 2900 metres. The reservoir is steeply dipping and has good quality.,"Oda is a field in the southern part of the Norwegian sector in the North Sea, 14 kilometres east of the Ula field. The water depth is 65 metres. Oda was discovered in 2011, and the plan for development and operation (PDO) was approved in 2017. Oda is developed with one subsea template with two production wells and one injection well tied-back to the Ula field. The production started in 2019.",Vestland,Ula,clastic,The field is produced by pressure support from water injection.,https://factpages.sodir.no/field/pageview/all/29412516,1.0,4.72,0.22,0.25,5.19,0.1,0.0,0.0,0.1,7.99,0.6,0.0,0.6,0.0,9.19,0.87,0.0,0.591,0.622,0.3667,0.5647,0.979,1.0,0.98,0.981,0.6479,1.1714,2.6277,3.9094,5.4329,6.3575,,6.75,2019.25,0.2,8.062,1.312,2027.312,2020.0,1.317,1.317,0.0,4.0,3.0,1.0,0.0,1.0,57.0730875,3.06530775,2672.7,2852.8,2785.4,3167.7,66.0,2900.0,284.6,408.2,140.4,True,97.9,75.1,1.2070607232034574,0.003494683100974928,9.64,0.0,9.64,0.0,6.0,0.0,6.0,4.62,0.13,1.16,769.0,3146.0,0.0
ODIN,78,NORTH,shut down,gas,1250 S,Aker BP ASA,False,Odin produced gas from sandstone of Eocene age in the Frigg Formation. The reservoir is at a depth of 2000 metres. It has pressure communication with the Frigg reservoir via the aquifer.,"Odin is a field in the central part of the North Sea, eight kilometres northeast of the Frigg field. The water depth is 100 metres. Odin was discovered in 1974, and the plan for development and operation (PDO) was approved in 1980. The development solution was a facility with simplified drilling and processing equipment and living quarters. The production started in 1984.",Hordaland,Frigg,clastic,The field was produced by pressure depletion. The reservoir had limited water drive compared with the other fields in the Frigg area.,https://factpages.sodir.no/field/pageview/all/43610,1.0,0.0,27.26,0.22,27.48,0.0,0.0,0.0,0.0,0.0,37.3,0.27,0.0,37.3,37.57,0.01,0.993,,0.815,0.7308,0.7314,,1.0,1.0,1.0,1.0603,2.3117,4.3831,6.8913,8.441,9.1342,10.4167,10.417,1984.333,0.0,,0.0,1994.667,1985.0,3.577,0.028,3.549,11.0,11.0,0.0,0.0,0.0,60.07693300000001,2.1657499999999996,2023.1,2094.3,2082.1,2258.0,103.0,2082.1,213.0,216.1,103.3,True,75.1,,0.0,0.005258817902868943,0.0,196.15,196.15,1.0,0.0,143.36,143.36,94.36,1.93,8.58,658.0,4730.0,0.0
ORMEN LANGE,79,NORWEGIAN,producing,gas,ORMEN LANGE UNIT,A/S Norske Shell,False,Ormen Lange produces very dry gas and small amounts of condensate from Paleocene sandstone in the Egga Formation. The reservoir is at a depth of 2700-2900 metres below sea level and has excellent quality.,"Ormen Lange is a field in the southern part of the Norwegian Sea, 120 kilometres west-northwest of the Nyhamna processing plant. The water depth varies from 800 to more than 1100 metres. Ormen Lange was discovered in 1997, and the plan for development and operation (PDO) was approved in 2004. Deep water and seabed conditions made the development very challenging and triggered development of new technology. The field has been developed in several phases. The development comprises four 8-slot subsea templates with a total of 24 production wells. The production started in 2007 from two subsea templates in the central part of the field. In 2009 and 2011, two additional templates were installed in the southern and northern parts of the field, respectively. An amended PDO for subsea gas compression was approved in 2022.",Rogaland,Egga,clastic,The field is produced by pressure depletion.,https://factpages.sodir.no/field/pageview/all/2762452,1.0,0.0,331.31,19.64,350.96,0.0,57.99,1.82,59.81,0.0,403.0,35.2,0.0,403.0,438.2,0.08,0.92,,0.558,0.8221,0.8009,,0.825,0.907,0.83,2.2887,4.5706,8.7721,15.064,,,,18.25,2007.75,8.5,44.929,26.679,2052.679,2012.0,23.937,1.734,22.203,24.0,21.0,0.0,3.0,1.0,63.47901925,5.356433708333334,2656.0,2814.6,2842.5,2997.0,864.8,2842.5,290.4,297.3,104.2,True,99.8,,0.0,0.004424665652625129,0.0,1783.14,1783.14,1.0,0.0,1465.94,1465.94,966.53,24.57,40.27,659.0,13943.0,0.0
OSEBERG,80,NORTH,producing,oil/gas,OSEBERG AREA UNIT,Equinor Energy AS,False,"Oseberg produces oil and gas from sandstone of Middle Jurassic age in the Brent Group. The main reservoirs are in the Oseberg and Tarbert Formations, but there is also production from the Etive and Ness Formations. The reservoirs are at depths of 2300-2700 metres and have generally good quality. The field is divided into several structures. The satellite structures west of the main structure also produce from the Statfjord Group and Cook Formation.","Oseberg is a field in the northern part of the North Sea. The water depth is 100 metres. Oseberg was discovered in 1979, and the plan for development and operation (PDO) was approved in 1984. The field was developed in multiple phases and the production started in 1988. The Oseberg Field Centre in the south originally consisted of two facilities: the process and accommodation facility Oseberg A and the drilling and water injection facility Oseberg B. A PDO for Oseberg C was approved in 1988 and included an integrated production, drilling and quarters facility (PDQ) in the northern part of the field. A PDO for the gas phase was approved in 1996 and included a facility for gas processing, Oseberg D. A PDO for the western flank, Vestflanken, was approved in 2003 and included a subsea template tied-back to Oseberg B. A PDO for Oseberg Delta was approved in 2005 and included a subsea template tied-back to Oseberg D. A PDO for Oseberg Delta II was approved in 2013 and included two subsea templates tied-back to the Oseberg Field Centre. A PDO for Oseberg Vestflanken II was approved in 2016 and included an unmanned wellhead platform (UWP), Oseberg H, and new wells from the existing G4 template on the western flank. A PDO for Oseberg Field Centre low pressure gas production and power from shore was approved in 2022. The Oseberg Øst, Oseberg Sør and Tune fields are tied to the Oseberg Field Centre.",Brent,"Oseberg, Tarbert",clastic,"The Oseberg field is produced by pressure depletion, as well as pressure maintenance using gas and water injection in some structures. Massive upflank gas injection in the main field has provided excellent oil displacement, and a large gas cap has developed. Injection gas was previously imported from Troll Øst. Gas blowdown has gradually started in main parts of the field, while other parts are maintaining injection.",https://factpages.sodir.no/field/pageview/all/43625,1.0,406.26,117.59,30.78,554.63,7.23,66.31,3.61,77.14,712.44,210.2,35.85,96.21,113.99,1054.7,0.71,0.108,0.57,0.584,0.5594,0.5259,0.982,0.436,0.975,0.861,5.1416,8.1934,13.7594,31.4614,,,,38.917,1986.75,8.8,64.879,25.962,2051.962,1994.0,29.212,29.212,0.0,225.0,186.0,33.0,6.0,0.118,60.53285636,2.7915882844444444,24.0,2718.0,2688.5,4191.0,108.3,2688.5,274.7,403.8,149.8,True,94.8,135.0,1.3558308970406967,0.0034847241890681308,965.95,397.22,1363.17,0.29,564.16,222.21,786.37,610.59,17.27,2.71,776.0,4167.0,0.0
OSEBERG SØR,81,NORTH,producing,oil/gas,OSEBERG AREA UNIT,Equinor Energy AS,False,Oseberg Sør produces oil and gas from several deposits in sandstone of Jurassic age. The main reservoirs are in the Tarbert and Heather Formations. The reservoirs are at depths of 2200-2800 metres and have moderate quality.,"Oseberg Sør is a field in the northern part of the North Sea, just south of the Oseberg field. The water depth is 100 metres. Oseberg Sør was discovered in 1984, and the plan for development and operation (PDO) was approved in 1997. The field has been developed with an integrated steel facility with accommodation, drilling module and first-stage oil/gas separation. Final processing of oil and gas takes place at the Oseberg Field Centre. The production started in 2000. Subsequently, several deposits on the field have been developed with subsea templates tied-back to the Oseberg Sør facility: the PDO for Oseberg Sør J was approved in 2003, a PDO exemption for the G-Central structure was granted in 2008, and the PDO for the Stjerne deposit was approved in 2011. A PDO for the Oseberg Field Centre low pressure gas production and power from shore to the Oseberg Sør facility was approved in 2022.","Brent, Viking","Tarbert, Heather",clastic,"The field is mainly produced with water and gas injection. In parts of the field, water alternating gas (WAG) injection is being used. Water for injection is produced from the Utsira Formation. Some of the structures are produced by pressure depletion.",https://factpages.sodir.no/field/pageview/all/43645,1.0,73.33,27.82,5.17,106.32,9.79,12.24,1.08,23.12,245.0,66.01,2.8,38.2,27.81,352.01,0.7,0.079,0.299,0.317,0.4215,0.302,0.866,0.56,0.861,0.783,2.8391,6.0236,13.7873,24.8219,,,,25.917,2000.167,13.4,48.843,22.926,2048.926,2003.0,5.955,5.06,0.895,97.0,70.0,21.0,6.0,0.3,60.37496920618557,2.8043296907216493,746.0,2613.5,2810.8,3268.0,101.8,2810.8,287.2,417.6,148.2,True,98.7,155.9,1.4145115984265277,0.0034524360231494955,346.56,96.01,442.57,0.22,109.78,40.46,150.24,116.19,3.36,1.2,773.0,1346.0,0.0
OSEBERG ØST,82,NORTH,producing,oil,OSEBERG AREA UNIT,Equinor Energy AS,False,Oseberg Øst produces oil from Middle Jurassic sandstone in the Brent Group. The field consists of two structures which are separated by a sealing fault. The structures contain several oil-bearing layers with variable reservoir characteristics. The reservoirs are at depths of 2700-3100 metres.,"Oseberg Øst is a field in the northern part of the North Sea, 15 kilometres east of the Oseberg field. The water depth is 160 metres. Oseberg Øst was discovered in 1981, and the plan for development and operation (PDO) was approved in 1996. The field has been developed with an integrated fixed facility with accommodation, drilling equipment and first-stage separation of oil, water, and gas. The production started in 1999. A PDO exemption for the Beta East segment was granted in 2004.",Brent,Brent,clastic,The field is produced by partial pressure support from both water injection and gas injection. Water for injection is produced from the Utsira Formation.,https://factpages.sodir.no/field/pageview/all/43639,1.0,24.38,0.33,0.21,24.92,0.2,0.0,0.0,0.21,73.37,6.49,0.0,6.49,0.0,86.35,0.85,0.0,0.332,0.335,0.0508,0.2886,0.992,1.0,0.992,0.992,1.3723,2.3969,4.6038,13.1881,20.4551,23.8341,,26.667,1999.417,0.6,27.908,1.242,2027.242,2001.0,3.813,3.813,0.0,39.0,30.0,9.0,0.0,0.0,60.70051933333332,2.9352526666666665,815.8,2756.4,2873.0,3351.4,158.0,2873.0,293.5,424.6,147.4,True,100.8,88.5,1.242783954843494,0.0034382261101367395,91.18,0.0,91.18,0.0,30.56,0.0,30.56,23.58,0.69,0.6,772.0,1132.0,0.0
OSELVAR,83,NORTH,shut down,oil/gas,,,False,Oselvar produced oil and gas from sandstone of Paleocene age in the Forties Formation. The reservoir is at a depth of 2900-3250 metres. ,"Oselvar is a field in the southern part of the Norwegian sector in the North Sea, 20 kilometres southwest of the Ula field. The water depth is 70 metres. Oselvar was discovered in 1991, and the plan for development and operation (PDO) was approved in 2009. The development concept was a subsea template with three horizontal production wells tied to Ula. The production started in 2012. ",Rogaland,Forties,clastic,The field was produced by pressure depletion.,https://factpages.sodir.no/field/pageview/all/5506919,1.0,0.68,0.4,0.04,1.11,0.0,0.0,0.0,0.0,6.52,4.470000000000001,3.68,2.16,2.31,16.83,0.61,0.137,0.104,0.07,0.0895,0.066,1.0,1.0,1.0,1.0,0.2953,0.8308,2.0091,3.6549,4.7859,5.1992,5.75,5.75,2012.333,0.0,,0.0,2018.333,2012.0,0.158,0.158,0.0,3.0,3.0,0.0,0.0,1.0,56.931946333333336,2.6713563333333337,3118.0,3123.0,3125.0,3126.0,72.0,3152.5,319.1,396.2,125.4,True,131.6,331.3,1.9132634422681452,0.003950443561382784,12.47,9.13,21.6,0.42,0.88,0.82,1.7,1.11,0.03,0.37,655.0,478.0,0.0
REV,84,NORTH,producing,gas,038 C,Repsol Norge AS,False,Rev produces gas and some condensate from intra-Heather sandstone of Late Jurassic age. The reservoir is a simple structure divided into two segments. It surrounds a salt structure at 3000 metres depth. The reservoir quality is good. Measurements show that the reservoir is in pressure communication with the Varg field.,"Rev is a field close to the UK border in the southern part of the Norwegian sector in the North Sea, four kilometres south of the Varg field. The water depth is 90-110 metres. Rev was discovered in 2001, and the plan for development and operation (PDO) was approved in 2007. The field is developed with a subsea template including three production wells connected to the Armada field on the UK continental shelf. The production started in 2009.",Viking,intra-Heather,clastic,The field is produced by pressure depletion.,https://factpages.sodir.no/field/pageview/all/4467554,1.0,0.77,2.72,0.2,3.69,0.0,0.01,0.0,0.01,0.0,3.6,1.6,0.0,3.6,5.2,0.31,0.692,,0.603,0.7556,0.7096,,0.996,1.0,0.997,0.4945,0.9751,1.5202,2.1494,3.0428,3.6936,,7.5,2009.083,3.3,5.706,0.0,2026.0,2010.0,1.464,0.335,1.129,4.0,4.0,0.0,0.0,1.0,58.028085499999996,1.92417425,2791.5,2867.6,2824.4,3030.0,87.0,2824.4,288.5,288.5,101.8,False,99.2,,0.0,0.00452283648010844,0.0,16.28,16.28,1.0,0.0,12.3,12.3,8.0,0.2,2.0,651.0,11824.0,0.0
RINGHORNE ØST,85,NORTH,producing,oil,RINGHORNE ØST UNIT,Vår Energi ASA,False,Ringhorne Øst produces oil with associated gas from Jurassic sandstone in the Statfjord Group. The reservoir is at a depth of 1940 metres and has very good quality.,"Ringhorne Øst is a field in the central part of the North Sea, six kilometres northeast of the Balder field. The water depth is 130 metres. Ringhorne Øst was discovered in 2003, and the plan for development and operation (PDO) was approved in 2005. The field is developed with four production wells drilled from the Ringhorne wellhead platform. The production started in 2006.",Statfjord,Statfjord,clastic,"The field is produced by natural water drive from a regional aquifer to the north and east of the structure. The wells have gas lift to optimise production, and this will be expanded due to increasing water production.",https://factpages.sodir.no/field/pageview/all/3505505,1.0,15.35,0.25,0.0,15.6,1.15,0.0,0.0,1.15,25.6,1.3,0.0,1.3,0.0,28.2,0.91,0.0,0.6,0.6,0.1923,0.5532,0.925,1.0,0.925,0.926,1.1695,2.4045,4.852,9.1107,15.7709,,,19.667,2006.25,24.0,26.719,6.886,2032.886,2008.0,2.015,1.979,0.035,6.0,3.0,1.0,2.0,0.0,59.266068666666676,2.4498841666666666,1921.7,1978.0,1936.7,2201.7,128.3,1936.7,198.2,198.2,101.8,False,70.4,50.8,1.1259988795532374,0.005577124732695016,28.83,0.0,28.83,0.0,17.28,0.0,17.28,11.28,0.22,1.88,653.0,1630.0,0.0
SIGYN,86,NORTH,producing,gas/oil,072,Equinor Energy AS,False,"The Sigyn field produces gas and condensate from two separate accumulations, Sigyn West and Sigyn East. Sigyn West contains rich gas and condensate, while Sigyn East contains light oil. The main reservoirs are in Triassic sandstone of the Skagerrak Formation, at a depth of 2700 metres. There are also thin reservoir sandstone layers in the Upper Jurassic intra-Draupne Formation.","Sigyn is a field in the central part of the North Sea, 12 kilometres southeast of the Sleipner Øst field. The water depth is 70 metres. Sigyn was discovered in 1982, and the plan for development and operation (PDO) was approved in 2001. The field is developed with a 4-slot subsea template tied-back to the Sleipner A facility. The production started in 2002.",Hegre,Skagerrak,clastic,Sigyn East is produced with pressure support from gas injection and Sigyn West is produced by pressure depletion.,https://factpages.sodir.no/field/pageview/all/1630100,1.0,1.69,7.88,11.55,21.12,0.5,0.61,0.15,1.26,15.7,10.5,8.6,3.1,7.4,37.9,0.64,0.195,0.108,0.545,0.7505,0.5573,0.704,0.923,0.951,0.94,0.9794,2.2729,5.0194,9.4937,17.4944,,,22.917,2003.0,9.9,32.783,9.867,2035.867,2003.0,2.412,1.499,0.913,5.0,5.0,0.0,0.0,1.0,58.284952999999994,2.0437646000000003,2531.0,2591.2,2581.0,2727.0,78.6,2581.0,263.8,263.8,101.8,False,91.3,197.5,1.5174314318683912,0.00472541531170409,23.82,34.97,58.79,0.6,12.98,26.24,39.22,25.54,0.6,5.11,651.0,3752.0,0.0
